phase,algorithm,params,max_speed,completion_rate,num_completed,num_maps,avg_lap_time,per_map
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.7, 'threshold_at_v_max': 1.8}",7.0,0.524,11,21,56.569,"{'Monza': (False, '0.00'), 'BrandsHatch': (True, '55.24'), 'Austin': (False, '0.00'), 'IMS': (True, '41.80'), 'Hockenheim': (True, '58.63'), 'Catalunya': (True, '67.32'), 'Budapest': (True, '65.71'), 'MoscowRaceway': (True, '56.29'), 'Oschersleben': (True, '44.89'), 'MexicoCity': (True, '58.34'), 'YasMarina': (False, '0.00'), 'Nuerburgring': (False, '0.00'), 'SaoPaulo': (True, '56.88'), 'Sepang': (False, '0.00'), 'Spielberg': (True, '53.62'), 'Spa': (False, '0.00'), 'Sakhir': (False, '0.00'), 'Sochi': (False, '0.00'), 'Melbourne': (False, '0.00'), 'Zandvoort': (True, '63.54'), 'Silverstone': (False, '0.00')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.7, 'threshold_at_v_max': 1.9}",7.0,0.524,11,21,56.510,"{'Monza': (False, '0.00'), 'BrandsHatch': (True, '55.24'), 'Austin': (False, '0.00'), 'IMS': (True, '41.80'), 'Budapest': (True, '65.71'), 'Hockenheim': (True, '58.63'), 'Catalunya': (True, '67.32'), 'MexicoCity': (True, '58.34'), 'Oschersleben': (True, '44.25'), 'Melbourne': (False, '0.00'), 'YasMarina': (False, '0.00'), 'Nuerburgring': (False, '0.00'), 'Sakhir': (False, '0.00'), 'Silverstone': (False, '0.00'), 'Sepang': (False, '0.00'), 'MoscowRaceway': (True, '56.29'), 'Spielberg': (True, '53.62'), 'Spa': (False, '0.00'), 'SaoPaulo': (True, '56.88'), 'Zandvoort': (True, '63.54'), 'Sochi': (False, '0.00')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.7, 'threshold_at_v_max': 2.0}",7.0,0.524,11,21,56.510,"{'Austin': (False, '0.00'), 'Monza': (False, '0.00'), 'Budapest': (True, '65.71'), 'IMS': (True, '41.80'), 'BrandsHatch': (True, '55.24'), 'Hockenheim': (True, '58.63'), 'Catalunya': (True, '67.32'), 'Oschersleben': (True, '44.25'), 'MoscowRaceway': (True, '56.28'), 'MexicoCity': (True, '58.34'), 'Melbourne': (False, '0.00'), 'Nuerburgring': (False, '0.00'), 'SaoPaulo': (True, '56.88'), 'YasMarina': (False, '0.00'), 'Sakhir': (False, '0.00'), 'Silverstone': (False, '0.00'), 'Sepang': (False, '0.00'), 'Sochi': (False, '0.00'), 'Spielberg': (True, '53.62'), 'Spa': (False, '0.00'), 'Zandvoort': (True, '63.54')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.7, 'threshold_at_v_max': 2.1}",7.0,0.524,11,21,56.511,"{'Monza': (False, '0.00'), 'BrandsHatch': (True, '55.24'), 'Budapest': (True, '65.71'), 'IMS': (True, '41.80'), 'MexicoCity': (True, '58.34'), 'Catalunya': (True, '67.32'), 'Oschersleben': (True, '44.27'), 'MoscowRaceway': (True, '56.28'), 'Nuerburgring': (False, '0.00'), 'Hockenheim': (True, '58.63'), 'Melbourne': (False, '0.00'), 'Austin': (False, '0.00'), 'SaoPaulo': (True, '56.88'), 'YasMarina': (False, '0.00'), 'Sochi': (False, '0.00'), 'Sepang': (False, '0.00'), 'Sakhir': (False, '0.00'), 'Spielberg': (True, '53.62'), 'Silverstone': (False, '0.00'), 'Spa': (False, '0.00'), 'Zandvoort': (True, '63.54')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.7, 'threshold_at_v_max': 2.2}",7.0,0.524,11,21,56.511,"{'Monza': (False, '0.00'), 'IMS': (True, '41.80'), 'Hockenheim': (True, '58.63'), 'BrandsHatch': (True, '55.24'), 'Catalunya': (True, '67.32'), 'Oschersleben': (True, '44.27'), 'MexicoCity': (True, '58.34'), 'MoscowRaceway': (True, '56.28'), 'Melbourne': (False, '0.00'), 'Nuerburgring': (False, '0.00'), 'SaoPaulo': (True, '56.88'), 'YasMarina': (False, '0.00'), 'Budapest': (True, '65.71'), 'Austin': (False, '0.00'), 'Sepang': (False, '0.00'), 'Silverstone': (False, '0.00'), 'Sochi': (False, '0.00'), 'Sakhir': (False, '0.00'), 'Zandvoort': (True, '63.54'), 'Spielberg': (True, '53.62'), 'Spa': (False, '0.00')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.7, 'threshold_at_v_max': 2.3}",7.0,0.524,11,21,56.513,"{'Monza': (False, '0.00'), 'BrandsHatch': (True, '55.24'), 'Austin': (False, '0.00'), 'IMS': (True, '41.80'), 'Oschersleben': (True, '44.29'), 'Budapest': (True, '65.71'), 'Melbourne': (False, '0.00'), 'MexicoCity': (True, '58.34'), 'MoscowRaceway': (True, '56.29'), 'SaoPaulo': (True, '56.88'), 'Nuerburgring': (False, '0.00'), 'Sakhir': (False, '0.00'), 'YasMarina': (False, '0.00'), 'Silverstone': (False, '0.00'), 'Hockenheim': (True, '58.63'), 'Sepang': (False, '0.00'), 'Catalunya': (True, '67.32'), 'Spielberg': (True, '53.62'), 'Spa': (False, '0.00'), 'Sochi': (False, '0.00'), 'Zandvoort': (True, '63.54')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.7, 'threshold_at_v_max': 2.3}",7.0,0.524,11,21,56.513,"{'Monza': (False, '0.00'), 'BrandsHatch': (True, '55.24'), 'Hockenheim': (True, '58.63'), 'Austin': (False, '0.00'), 'Budapest': (True, '65.71'), 'Oschersleben': (True, '44.29'), 'Melbourne': (False, '0.00'), 'IMS': (True, '41.80'), 'MoscowRaceway': (True, '56.29'), 'Nuerburgring': (False, '0.00'), 'SaoPaulo': (True, '56.88'), 'YasMarina': (False, '0.00'), 'Catalunya': (True, '67.32'), 'Sakhir': (False, '0.00'), 'Silverstone': (False, '0.00'), 'Sepang': (False, '0.00'), 'MexicoCity': (True, '58.34'), 'Spielberg': (True, '53.62'), 'Sochi': (False, '0.00'), 'Zandvoort': (True, '63.54'), 'Spa': (False, '0.00')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.7, 'threshold_at_v_max': 2.5}",7.0,0.571,12,21,57.392,"{'Monza': (False, '0.00'), 'IMS': (True, '41.80'), 'BrandsHatch': (True, '55.24'), 'Hockenheim': (True, '58.63'), 'Austin': (False, '0.00'), 'Melbourne': (False, '0.00'), 'MoscowRaceway': (True, '56.29'), 'Oschersleben': (True, '44.30'), 'Catalunya': (True, '67.32'), 'SaoPaulo': (True, '56.88'), 'Nuerburgring': (False, '0.00'), 'Sepang': (False, '0.00'), 'Sakhir': (False, '0.00'), 'Budapest': (True, '65.71'), 'MexicoCity': (True, '58.34'), 'Spielberg': (True, '53.63'), 'Sochi': (False, '0.00'), 'Silverstone': (False, '0.00'), 'Spa': (False, '0.00'), 'YasMarina': (True, '67.03'), 'Zandvoort': (True, '63.54')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.8, 'threshold_at_v_max': 1.2}",7.0,0.524,11,21,56.569,"{'BrandsHatch': (True, '55.24'), 'Monza': (False, '0.00'), 'Austin': (False, '0.00'), 'Catalunya': (True, '67.32'), 'Budapest': (True, '65.71'), 'Melbourne': (False, '0.00'), 'IMS': (True, '41.80'), 'MoscowRaceway': (True, '56.29'), 'MexicoCity': (True, '58.34'), 'Oschersleben': (True, '44.89'), 'Nuerburgring': (False, '0.00'), 'Hockenheim': (True, '58.63'), 'YasMarina': (False, '0.00'), 'Sakhir': (False, '0.00'), 'SaoPaulo': (True, '56.88'), 'Sepang': (False, '0.00'), 'Silverstone': (False, '0.00'), 'Sochi': (False, '0.00'), 'Spa': (False, '0.00'), 'Zandvoort': (True, '63.54'), 'Spielberg': (True, '53.62')}"
1-params,GapFollowPurePursuit,"{'lookahead_distance': 1.0, 'threshold_at_v_min': 0.8, 'threshold_at_v_max': 1.3}",7.0,0.524,11,21,56.569,"{'Monza': (False, '0.00'), 'Austin': (False, '0.00'), 'BrandsHatch': (True, '55.24'), 'Catalunya': (True, '67.32'), 'MexicoCity': (True, '58.34'), 'IMS': (True, '41.80'), 'Hockenheim': (True, '58.63'), 'Melbourne': (False, '0.00'), 'MoscowRaceway': (True, '56.29'), 'Nuerburgring': (False, '0.00'), 'YasMarina': (False, '0.00'), 'Budapest': (True, '65.71'), 'SaoPaulo': (True, '56.88'), 'Sakhir': (False, '0.00'), 'Oschersleben': (True, '44.89'), 'Silverstone': (False, '0.00'), 'Spa': (False, '0.00'), 'Sepang': (False, '0.00'), 'Sochi': (False, '0.00'), 'Zandvoort': (True, '63.54'), 'Spielberg': (True, '53.62')}"
